Internal - All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Robots 2,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Text Ratio,Crawl Depth,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URI,Redirect Type,view_count 1,video_title 1,update_date 1,channel_info 1,URL Encoded Address,,,,
http://youtube.com/,text/html,301,Moved Permanently,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,2,2,0,0,0,0,0,,0.089,,https://youtube.com/,HTTP Redirect,,,,,http://youtube.com/,,,,
https://youtube.com/,text/html,301,Moved Permanently,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,0,0,0,1,0,0,0,0,0,0,0,,0.131,,https://www.youtube.com/,HTTP Redirect,,,,,https://youtube.com/,,,,
https://www.youtube.com/,text/html, charset=utf-8,200,OK,YouTube,7,74,"Thưởng thức video và âm nhạc bạn yêu thích, tải nội dung gốc lên và chia sẻ nội dung đó với bạn bè và gia đình cũng như mọi người trên YouTube.",143,853,"video, chia sẻ, điện thoại chụp ảnh, điện thoại video, miễn phí, tải lên",72,,0,,0,Trang chủ,9,Thịnh hànhPhát tất cả,21,,,,https://www.youtube.com/,450382,3448,3.814216,2,364282,170668,99.91,292,190,7,7,49a357b1db71296e99c1048bcf9ab0df,0.076,,,,,,,,https://www.youtube.com/,,,
https://www.youtube.com/channel/UCShzY_Zghxhkdkh5nSWyBVg,text/html, charset=utf-8,200,OK,TXT - YouTube,13,125,LIÊN HỆ QUẢNG CÁO TẠI : daitiensinh1@gmail.com FACEBOOK : https://www.facebook.com/ll.Sniper.ll FAN PAGE : https://www.facebook.com/TienXinhTrai.Page GROUP :...,160,1027,"txt ""txt vlogs"" ""lam vlogs"" ""tien zombie v4"" ""parkour zombie"" ""parkour cf"" CFAL CFNA CFQQ ""crossfire việt nam"" crossfire ""đột kích"" ""đột kích tv"" ""zombie v3"" ""zombie v6"" ""zombie v5"" TXT ""dái Tiên Sinh"" ""Tien Xinh Trai"" ""zombie v4"" ""săn zombie v4"" zombie ""tiền zombie v4"" ""binh luan cf"" ""bình luận cf"" ""Tien xinh trai"" ""txt Tien Zombie V4 Tien Xinh Trai Săn Zombie V4 Tuan Thach Sung"" ""anh lun"" ""anh lùn"" ""tien zombie""",417,TXT,3,,0,TXT,3,Trang chủ,10,,,,https://www.youtube.com/channel/UCShzY_Zghxhkdkh5nSWyBVg,598422,3755,3.0328548,3,3247,1050,0.61,278,113,48,20,8fe8a3900653ecba23a812ff360260ee,1.259,,,,,,,,https://www.youtube.com/channel/UCShzY_Zghxhkdkh5nSWyBVg,,,
https://www.youtube.com/watch?v=naP-yR3lDuk,text/html, charset=utf-8,200,OK,Khoa Pug liều mạng qua Ai Cập sống mua bảo hiểm 4 tỷ cho cameraman - Review EgyptAir - YouTube,94,818,Khoa Pug liều mạng qua Ai Cập sống mua bảo hiểm 4 tỷ cho cameraman - Review EgyptAir. - FB của mình sẽ cập nhât tình hình seri Ai Cập nhé : https://www.faceb...,160,967,"khoa pug, khoa, pug, khoa pubg, Ai Cập, bảo hiểm, 4 tỷ, cameraman, khoa pug cameraman, cameraman của khoa pug là ai, Review, EgyptAir, Review EgyptAir, Egypt...",160,Video này không sẵn có.,23,Khoa Pug liều mạng qua Ai Cập sống mua bảo hiểm 4 tỷ cho cameraman - Review EgyptAir,84,,0,,0,,,,https://www.youtube.com/watch?v=naP-yR3lDuk,212084,1128,2.5433078,3,442,221,0.13,59,37,10,7,86a851626ed3bb049c1fe21407c126b9,0.12,,,,1.985.039 lượt xem,"
    Khoa Pug liều mạng qua Ai Cập sống mua bảo hiểm 4 tỷ cho cameraman - Review EgyptAir
  ","Xuất bản 8 thg 5, 2019","
    <a class=""yt-uix-sessionlink       spf-link"" data-sessionlink=""itct=CD4Q4TkiEwjpz5WGoZPiAhVEUGAKHWbzCxUo-B0"" href=""/channel/UCAGikSCgqbeIXCvoXixWovQ"">Khoa Pug</a>
       
      <span aria-label=""Đã xác minh"" class=""yt-channel-title-icon-verified yt-uix-tooltip yt-sprite"" data-tooltip-text=""Đã xác minh""></span>
  ",https://www.youtube.com/watch?v=naP-yR3lDuk,,,
https://www.youtube.com/watch?v=P5o0TyUHon8,text/html, charset=utf-8,200,OK,Sau Arc Wano! Đây là 9 Sức mạnh mới của băng Mũ Rơm - YouTube,61,557,"[Top Manga] - Thông thường mỗi khi đến thăm một hòn đảo mới, các thành viên của nhóm cướp biển Mũ Rơm sẽ nhận được sức mạnh hoặc những thứ mới. Đối với câu c...",160,1013,mạnh băng Mũ Rơm,16,Video này không sẵn có.,23,Sau Arc Wano! Đây là 9 Sức mạnh mới của băng Mũ Rơm,51,,0,,0,,,,https://www.youtube.com/watch?v=P5o0TyUHon8,195685,1019,2.5745459,3,304,152,0.09,61,39,10,7,8eedf25c295d16d9b20ab2e304424dab,0.16,,,,324.037 lượt xem,"
    Sau Arc Wano! Đây là 9 Sức mạnh mới của băng Mũ Rơm
  ","Xuất bản 8 thg 5, 2019","
    <a class=""yt-uix-sessionlink       spf-link"" data-sessionlink=""itct=CDgQ4TkiEwj8ypeGoZPiAhUN6lgKHdimAGQo-B0"" href=""/channel/UCAMHkCireMk1I3Nx58sAFnA"">Top Manga</a>
  ",https://www.youtube.com/watch?v=P5o0TyUHon8,,,
https://www.youtube.com/watch?v=kpsaQBlLUC4,text/html, charset=utf-8,200,OK,[MSI 2019] SKT vs FW Highlights - Cầm Rumble đi Mid đấu Faker và cái kết? - YouTube,83,706,"[MSI 2019] SKT vs FW Highlights - Cầm Rumble đi Mid đấu Faker và cái kết? Sau trận thua khá sốc trước G2, SKT đã lấy lại được sự ""bá đạo"" vốn có của mình. Fa...",160,969,"msi, msi 2019, skt, fw, skt vs fw, fw vs skt, skt vs fw highlights, skt vs fw msi 2019, faker, faker rank việt, skt rank việt, pvb, vetv, lol, lmht, liên min...",160,Video này không sẵn có.,23,[MSI 2019] SKT vs FW Highlights - Cầm Rumble đi Mid đấu Faker và cái kết?,73,Bản phiên âm,12,,0,,,,https://www.youtube.com/watch?v=kpsaQBlLUC4,220440,1116,2.5716748,3,234,117,0.07,63,39,10,7,f5b22d7657470a6bc69f52bc577dc445,0.166,,,,223.260 lượt xem,"
    [MSI 2019] SKT vs FW Highlights - Cầm Rumble đi Mid đấu Faker và cái kết?
  ","Xuất bản 10 thg 5, 2019","
    <a class=""yt-uix-sessionlink       spf-link"" data-sessionlink=""itct=CDkQ4TkiEwjOuZeGoZPiAhWXZyoKHZN6BQ8o-B0"" href=""/channel/UCDUHF8SenGDC3xkTUhQEqjw"">LOL Channel</a>
       
      <span aria-label=""Đã xác minh"" class=""yt-channel-title-icon-verified yt-uix-tooltip yt-sprite"" data-tooltip-text=""Đã xác minh""></span>
  ",https://www.youtube.com/watch?v=kpsaQBlLUC4,,,
https://www.youtube.com/watch?v=ZwDxaM5VBJM,text/html, charset=utf-8,200,OK,AMEE - ĐEN ĐÁ KHÔNG ĐƯỜNG | Official Music Video - YouTube,58,542,AMEE - ĐEN ĐÁ KHÔNG ĐƯỜNG | Official Music Video #DenDaKhongDuong #AMEE #BRAY #DDKD #MV #SummerAMEE #AMEEcomeback #theSummerSingle #09052019_8PM #ST319 https...,160,1143,"amee, đen đá không đường, den da ko duong, đen đá không đường amee, đen đá không đường amee bray, amee đen đá không đường, amee den da khong duong, ddkd, ame...",160,Video này không sẵn có.,23,AMEE - ĐEN ĐÁ KHÔNG ĐƯỜNG | Official Music Video,48,Bản phiên âm,12,,0,,,,https://www.youtube.com/watch?v=ZwDxaM5VBJM,225617,1263,2.9355056,3,657,327,0.19,74,54,10,7,ebe867b046e764e8818e2672435b6215,0.16,,,,3.094.227 lượt xem,"
    AMEE - ĐEN ĐÁ KHÔNG ĐƯỜNG | Official Music Video
  ","Đã công chiếu vào 9 thg 5, 2019","
    <a class=""yt-uix-sessionlink       spf-link"" data-sessionlink=""itct=CD0Q4TkiEwjQ8JeGoZPiAhVNK2AKHfxvCaQo-B0"" href=""/channel/UCSnVteUNlhr1SqCjTQx0PDQ"">St.319 Entertainment</a>
       
      <span aria-label=""Đã xác minh"" class=""yt-channel-title-icon-verified yt-uix-tooltip yt-sprite"" data-tooltip-text=""Đã xác minh""></span>
  ",https://www.youtube.com/watch?v=ZwDxaM5VBJM,,,
https://www.youtube.com/yt/copyright/vi/,text/html, charset=UTF-8,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,248,0,0,3,170628,170627,99.89,0,0,0,0,,0.184,,https://www.youtube.com/intl/vi/yt/about/copyright/,HTTP Redirect,,,,,https://www.youtube.com/yt/copyright/vi/,,,
https://www.youtube.com/watch?v=GbPDOSs1e_8,text/html, charset=utf-8,200,OK,ĐẠI CA VƯỢT NGỤC - Phim Hành Động THÀNH LONG Đạo Diễn 2018 - Phim Băng Đảng Xã Hội Đen - YouTube,96,910,ĐẠI CA VƯỢT NGỤC - Phim Hành Động THÀNH LONG Đạo Diễn 2018 - Phim Băng Đảng Xã Hội Đen -----,92,614,"thành long, phim thành long, phim hành động, phim băng đảng, phim xã hội đen, đại ca vượt ngục, thanh long, phim thanh long, phim hanh dong, phim bang dang, ...",160,Video này không sẵn có.,23,ĐẠI CA VƯỢT NGỤC - Phim Hành Động THÀNH LONG Đạo Diễn 2018 - Phim Băng Đảng Xã Hội Đen,86,,0,,0,,,,https://www.youtube.com/watch?v=GbPDOSs1e_8,209266,929,2.2426004,3,262,131,0.08,57,35,10,7,77084649ff92025021ff875a04a2aa17,0.072,,,,4.309.250 lượt xem,"
    ĐẠI CA VƯỢT NGỤC - Phim Hành Động THÀNH LONG Đạo Diễn 2018 - Phim Băng Đảng Xã Hội Đen
  ","Xuất bản 15 thg 9, 2018","
    <a class=""yt-uix-sessionlink       spf-link"" data-sessionlink=""itct=CEAQ4TkiEwillLyHoZPiAhWNDmAKHTJDBFMo-B0"" href=""/channel/UCDqck5gqwu6CMBelFrfOG7w"">Truyện Ma Kinh Dị 2018</a>
  ",https://www.youtube.com/watch?v=GbPDOSs1e_8,,,
